frequency,vna_power
7881061522.419187,
7881111574.55683,
7881161626.694473,
7881211678.832117,
7881261730.96976,
7881311783.107404,
7881361835.245047,
7881411887.38269,
7881461939.520333,
7881511991.657977,
7881562043.79562,
7881612095.933264,
7881662148.070908,
7881712200.20855,
7881762252.346194,
7881812304.483837,
7881862356.621481,
7881912408.759124,
7881962460.896768,
7882012513.03441,
7882062565.172054,
7882112617.309697,
7882162669.447341,
7882212721.584985,
7882262773.722628,
7882312825.860271,
7882362877.997914,
7882412930.135558,
7882462982.273201,
7882513034.410845,
7882563086.548488,
7882613138.6861315,
7882663190.823774,
7882713242.961418,
7882763295.099062,
7882813347.236705,
7882863399.374349,
7882913451.5119915,
7882963503.649635,
7883013555.787278,
7883063607.924922,
7883113660.062565,
7883163712.200209,
7883213764.337852,
7883263816.475495,
7883313868.613139,
7883363920.750782,
7883413972.888426,
7883464025.026069,
7883514077.1637125,
7883564129.301355,
7883614181.438999,
7883664233.576642,
7883714285.714286,
7883764337.851929,
7883814389.989573,
7883864442.127215,
7883914494.264859,
7883964546.402503,
7884014598.540146,
7884064650.67779,
7884114702.815433,
7884164754.953076,
7884214807.090719,
7884264859.228363,
7884314911.366006,
7884364963.50365,
7884415015.641293,
7884465067.778936,
7884515119.91658,
7884565172.054223,
7884615224.191867,
7884665276.32951,
7884715328.467154,
7884765380.604796,
7884815432.74244,
7884865484.880083,
7884915537.017727,
7884965589.15537,
7885015641.293014,
7885065693.430657,
7885115745.5683,
7885165797.705944,
7885215849.843587,
7885265901.981231,
7885315954.118874,
7885366006.256517,
7885416058.39416,
7885466110.531804,
7885516162.669447,
7885566214.807091,
7885616266.944735,
7885666319.082377,
7885716371.220021,
7885766423.357664,
7885816475.495308,
7885866527.632951,
7885916579.770595,
7885966631.908237,
7886016684.045881,
7886066736.183524,
7886116788.321168,
7886166840.458811,
7886216892.596455,
7886266944.734098,
7886316996.871741,
7886367049.009385,
7886417101.147028,
7886467153.284672,
7886517205.422315,
7886567257.559958,
7886617309.697601,
7886667361.835245,
7886717413.972888,
7886767466.110532,
7886817518.248176,
7886867570.3858185,
7886917622.523462,
7886967674.661105,
7887017726.798749,
7887067778.936392,
7887117831.074036,
7887167883.2116785,
7887217935.349322,
7887267987.486965,
7887318039.624609,
7887368091.762253,
7887418143.899896,
7887468196.0375395,
7887518248.175182,
7887568300.312826,
7887618352.450469,
7887668404.588113,
7887718456.725756,
7887768508.8633995,
7887818561.001042,
7887868613.138686,
7887918665.276329,
7887968717.413973,
7888018769.551617,
7888068821.68926,
7888118873.826903,
7888168925.964546,
7888218978.10219,
7888269030.239833,
7888319082.377477,
7888369134.51512,
7888419186.652763,
7888469238.790406,
7888519290.92805,
7888569343.065694,
7888619395.203337,
7888669447.340981,
7888719499.478623,
7888769551.616267,
7888819603.75391,
7888869655.891554,
7888919708.029197,
7888969760.166841,
7889019812.304483,
7889069864.442127,
7889119916.579771,
7889169968.717414,
7889220020.855058,
7889270072.992701,
7889320125.130344,
7889370177.267987,
7889420229.405631,
7889470281.543274,
7889520333.680918,
7889570385.818561,
7889620437.956204,
7889670490.093848,
7889720542.231491,
7889770594.369135,
7889820646.506778,
7889870698.644422,
7889920750.782064,
7889970802.919708,
7890020855.057351,
7890070907.194995,
7890120959.332638,
7890171011.470282,
7890221063.607924,
7890271115.745568,
7890321167.883212,
7890371220.020855,
7890421272.158499,
7890471324.296142,
7890521376.433785,
7890571428.571428,
7890621480.709072,
7890671532.846715,
7890721584.984359,
7890771637.122002,
7890821689.259645,
7890871741.397289,
7890921793.534932,
7890971845.672576,
7891021897.810219,
7891071949.947863,
7891122002.0855055,
7891172054.223149,
7891222106.360792,
7891272158.498436,
7891322210.636079,
7891372262.773723,
7891422314.911366,
7891472367.049009,
7891522419.186653,
7891572471.324296,
7891622523.46194,
7891672575.599583,
7891722627.7372265,
7891772679.874869,
7891822732.012513,
7891872784.150156,
7891922836.2878,
7891972888.425443,
7892022940.5630865,
7892072992.70073,
7892123044.838373,
7892173096.976017,
7892223149.11366,
7892273201.251304,
7892323253.388947,
7892373305.52659,
7892423357.664233,
7892473409.801877,
7892523461.93952,
7892573514.077164,
7892623566.2148075,
7892673618.35245,
7892723670.490094,
7892773722.627737,
7892823774.765381,
7892873826.903024,
7892923879.040668,
7892973931.17831,
7893023983.315954,
7893074035.453597,
7893124087.591241,
7893174139.728885,
7893224191.866528,
7893274244.004171,
7893324296.141814,
7893374348.279458,
7893424400.417101,
7893474452.554745,
7893524504.692388,
7893574556.830031,
7893624608.967674,
7893674661.105318,
7893724713.242962,
7893774765.380605,
7893824817.518249,
7893874869.655891,
7893924921.793535,
7893974973.931178,
7894025026.068822,
7894075078.206465,
7894125130.344109,
7894175182.481751,
7894225234.619395,
7894275286.757038,
7894325338.894682,
7894375391.032326,
7894425443.169969,
7894475495.307612,
7894525547.445255,
7894575599.582899,
7894625651.720542,
7894675703.858186,
7894725755.995829,
7894775808.133472,
7894825860.271115,
7894875912.408759,
7894925964.546403,
7894976016.684046,
7895026068.82169,
7895076120.959332,
7895126173.096976,
7895176225.234619,
7895226277.372263,
7895276329.509906,
7895326381.64755,
7895376433.7851925,
7895426485.922836,
7895476538.06048,
7895526590.198123,
7895576642.335767,
7895626694.47341,
7895676746.611053,
7895726798.748696,
7895776850.88634,
7895826903.023983,
7895876955.161627,
7895927007.29927,
7895977059.4369135,
7896027111.574557,
7896077163.7122,
7896127215.849844,
7896177267.987487,
7896227320.125131,
7896277372.2627735,
7896327424.400417,
7896377476.53806,
7896427528.675704,
7896477580.813347,
7896527632.950991,
7896577685.088634,
7896627737.226277,
7896677789.363921,
7896727841.501564,
7896777893.639208,
7896827945.776851,
7896877997.9144945,
7896928050.052137,
7896978102.189781,
7897028154.327424,
7897078206.465068,
7897128258.602711,
7897178310.740355,
7897228362.877998,
7897278415.015641,
7897328467.153285,
7897378519.290928,
7897428571.428572,
7897478623.566215,
7897528675.703858,
7897578727.841501,
7897628779.979145,
7897678832.116788,
7897728884.254432,
7897778936.392076,
7897828988.529718,
7897879040.667362,
7897929092.805005,
7897979144.942649,
7898029197.080292,
7898079249.217936,
7898129301.355578,
7898179353.493222,
7898229405.630865,
7898279457.768509,
7898329509.906152,
7898379562.043796,
7898429614.181439,
7898479666.319082,
7898529718.456726,
7898579770.594369,
7898629822.732013,
7898679874.869656,
7898729927.007299,
7898779979.144942,
7898830031.282586,
7898880083.420229,
7898930135.557873,
7898980187.695517,
7899030239.833159,
7899080291.970803,
7899130344.108446,
7899180396.24609,
7899230448.383733,
7899280500.521377,
7899330552.659019,
7899380604.796663,
7899430656.934306,
7899480709.07195,
7899530761.209594,
7899580813.347237,
7899630865.48488,
7899680917.622523,
7899730969.760167,
7899781021.89781,
7899831074.035454,
7899881126.173097,
7899931178.31074,
7899981230.448383,
7900031282.586027,
7900081334.723671,
7900131386.861314,
7900181438.998958,
7900231491.1366005,
7900281543.274244,
7900331595.411887,
7900381647.549531,
7900431699.687174,
7900481751.824818,
7900531803.9624605,
7900581856.100104,
7900631908.237747,
7900681960.375391,
7900732012.513035,
7900782064.650678,
7900832116.7883215,
7900882168.925964,
7900932221.063608,
7900982273.201251,
7901032325.338895,
7901082377.476538,
7901132429.6141815,
7901182481.751824,
7901232533.889468,
7901282586.027112,
7901332638.164755,
7901382690.302399,
7901432742.440042,
7901482794.577685,
7901532846.715328,
7901582898.852972,
7901632950.990615,
7901683003.128259,
7901733055.265902,
7901783107.403545,
7901833159.541189,
7901883211.678832,
7901933263.816476,
7901983315.954119,
7902033368.091763,
7902083420.229405,
7902133472.367049,
7902183524.504692,
7902233576.642336,
7902283628.779979,
7902333680.917623,
7902383733.055265,
7902433785.192909,
7902483837.330553,
7902533889.468196,
7902583941.60584,
7902633993.743483,
7902684045.881126,
7902734098.018769,
7902784150.156413,
7902834202.294056,
7902884254.4317,
7902934306.569343,
7902984358.706986,
7903034410.84463,
7903084462.982273,
7903134515.119917,
7903184567.25756,
7903234619.395204,
7903284671.532846,
7903334723.67049,
7903384775.808133,
7903434827.945777,
7903484880.08342,
7903534932.221064,
7903584984.358707,
7903635036.49635,
7903685088.633994,
7903735140.771637,
7903785192.909281,
7903835245.046924,
7903885297.184567,
7903935349.32221,
7903985401.459854,
7904035453.597497,
7904085505.735141,
7904135557.872785,
7904185610.010427,
7904235662.148071,
7904285714.285714,
7904335766.423358,
7904385818.561001,
7904435870.698645,
7904485922.8362875,
7904535974.973931,
7904586027.111574,
7904636079.249218,
7904686131.386861,
7904736183.524505,
7904786235.662148,
7904836287.799791,
7904886339.937435,
7904936392.075078,
7904986444.212722,
7905036496.350365,
7905086548.4880085,
7905136600.625651,
7905186652.763295,
7905236704.900938,
7905286757.038582,
7905336809.176226,
7905386861.3138685,
7905436913.451512,
7905486965.589155,
7905537017.726799,
7905587069.864442,
7905637122.002086,
7905687174.139729,
7905737226.277372,
7905787278.415015,
7905837330.552659,
7905887382.690303,
7905937434.827946,
7905987486.96559,
7906037539.103232,
7906087591.240876,
7906137643.378519,
7906187695.516163,
7906237747.653806,
7906287799.79145,
7906337851.929092,
7906387904.066736,
7906437956.20438,
7906488008.342023,
7906538060.479667,
7906588112.61731,
7906638164.754953,
7906688216.892596,
7906738269.03024,
7906788321.167883,
7906838373.305527,
7906888425.44317,
7906938477.580813,
7906988529.718456,
7907038581.8561,
7907088633.993744,
7907138686.131387,
7907188738.269031,
7907238790.406673,
7907288842.544317,
7907338894.68196,
7907388946.819604,
7907438998.957247,
7907489051.094891,
7907539103.232533,
7907589155.370177,
7907639207.507821,
7907689259.645464,
7907739311.783108,
7907789363.920751,
7907839416.058394,
7907889468.196037,
7907939520.333681,
7907989572.471324,
7908039624.608968,
7908089676.746611,
7908139728.884254,
7908189781.021898,
7908239833.159541,
7908289885.297185,
7908339937.434828,
7908389989.572472,
7908440041.7101145,
7908490093.847758,
7908540145.985401,
7908590198.123045,
7908640250.260688,
7908690302.398332,
7908740354.5359745,
7908790406.673618,
7908840458.811262,
7908890510.948905,
7908940563.086549,
7908990615.224192,
7909040667.3618355,
7909090719.499478,
7909140771.637122,
7909190823.774765,
7909240875.912409,
7909290928.050052,
7909340980.1876955,
7909391032.325339,
7909441084.462982,
7909491136.600626,
7909541188.738269,
7909591240.875913,
7909641293.013556,
7909691345.151199,
7909741397.288842,
7909791449.426486,
7909841501.564129,
7909891553.701773,
7909941605.8394165,
7909991657.977059,
7910041710.114703,
7910091762.252346,
7910141814.38999,
7910191866.527633,
7910241918.665277,
7910291970.802919,
7910342022.940563,
7910392075.078206,
7910442127.21585,
7910492179.353494,
7910542231.491137,
7910592283.62878,
7910642335.766423,
7910692387.904067,
7910742440.04171,
7910792492.179354,
7910842544.316997,
7910892596.45464,
7910942648.592283,
7910992700.729927,
7911042752.86757,
7911092805.005214,
7911142857.142858,
7911192909.2805,
7911242961.418144,
7911293013.555787,
7911343065.693431,
7911393117.831074,
7911443169.968718,
7911493222.10636,
7911543274.244004,
7911593326.381647,
7911643378.519291,
7911693430.656935,
7911743482.794578,
7911793534.932221,
7911843587.069864,
7911893639.207508,
7911943691.345151,
7911993743.482795,
7912043795.620438,
7912093847.758081,
7912143899.895724,
7912193952.033368,
7912244004.171012,
7912294056.308655,
7912344108.446299,
7912394160.583941,
7912444212.721585,
7912494264.859228,
7912544316.996872,
7912594369.134515,
7912644421.272159,
7912694473.4098015,
7912744525.547445,
7912794577.685089,
7912844629.822732,
7912894681.960376,
7912944734.098019,
7912994786.235662,
7913044838.373305,
7913094890.510949,
7913144942.648592,
7913194994.786236,
7913245046.923879,
7913295099.0615225,
7913345151.199165,
7913395203.336809,
7913445255.474453,
7913495307.612096,
7913545359.74974,
7913595411.8873825,
7913645464.025026,
7913695516.162669,
7913745568.300313,
7913795620.437956,
7913845672.5756,
7913895724.713243,
7913945776.850886,
7913995828.98853,
7914045881.126173,
7914095933.263817,
7914145985.40146,
7914196037.5391035,
7914246089.676746,
7914296141.81439,
7914346193.952033,
7914396246.089677,
7914446298.22732,
7914496350.364964,
7914546402.502607,
7914596454.64025,
7914646506.777894,
7914696558.915537,
7914746611.053181,
7914796663.190824,
7914846715.328467,
7914896767.46611,
7914946819.603754,
7914996871.741397,
7915046923.879041,
7915096976.016684,
7915147028.154327,
7915197080.291971,
7915247132.429614,
7915297184.567258,
7915347236.704901,
7915397288.842545,
7915447340.980187,
7915497393.117831,
7915547445.255474,
7915597497.393118,
7915647549.530761,
7915697601.668405,
7915747653.806048,
7915797705.943691,
7915847758.081335,
7915897810.218978,
7915947862.356622,
7915997914.494265,
7916047966.631908,
7916098018.769551,
7916148070.907195,
7916198123.044838,
7916248175.182482,
7916298227.320126,
7916348279.457768,
7916398331.595412,
7916448383.733055,
7916498435.870699,
7916548488.008342,
7916598540.145986,
7916648592.283628,
7916698644.421272,
7916748696.558915,
7916798748.696559,
7916848800.834203,
7916898852.971846,
7916948905.109489,
7916998957.247132,
7917049009.384776,
7917099061.522419,
7917149113.660063,
7917199165.797706,
7917249217.935349,
7917299270.072992,
7917349322.210636,
7917399374.348279,
7917449426.485923,
7917499478.623567,
7917549530.7612095,
7917599582.898853,
7917649635.036496,
7917699687.17414,
7917749739.311783,
7917799791.449427,
7917849843.5870695,
7917899895.724713,
7917949947.862356,
7918000000.0,
